es_name;desc;target;place;type;recupero;ripetizioni
Seated Military Press;Il Seated Military Press è un esercizio di sollevamento pesi che mira a sviluppare la forza e la muscolatura delle spalle, in particolare dei deltoidi anteriori. Per eseguire l'esercizio, hai bisogno di un bilanciere o di un paio di manubri. Siediti su una panca con lo schienale dritto e tieni il bilanciere o i manubri con le braccia piegate in modo che le mani siano posizionate leggermente più larghe delle spalle. Solleva il bilanciere o i manubri sopra la testa estendendo completamente le braccia, quindi abbassalo lentamente fino alla posizione di partenza.;Braccia;Palestra;Manubrio;2min;2-3x8-12
Dumbbell Shoulder Press;Il Dumbbell Shoulder Press è un esercizio di sollevamento pesi che mira a sviluppare la forza e la muscolatura delle spalle, in particolare dei deltoidi anteriori. Per eseguire l'esercizio, hai bisogno di un paio di manubri. Tieni i manubri alle spalle, con i gomiti piegati e le mani rivolte verso l'esterno. Estendi le braccia verso l'alto fino a quando i manubri non si toccano sopra la testa. Poi abbassali lentamente fino alla posizione di partenza.;Braccia;Palestra;Manubrio;1.30-2min;2x10
One-Arm Dumbbell Push Press;Il One-Arm Dumbbell Push Press è un esercizio di sollevamento pesi che coinvolge i muscoli delle gambe, del tronco e delle spalle. Per eseguire correttamente l'esercizio, si tiene un manubrio con una sola mano e si posiziona sulla spalla. Si esegue poi una leggera flessione delle ginocchia, poi un'esplosiva estensione delle gambe e delle anche per aiutare a spingere il manubrio sopra la testa.;Braccia;Palestra;Manubrio;60-90sec;2x8-10
Plank Shoulder Raise;Il Plank Shoulder Raise è un esercizio che coinvolge la zona centrale del corpo e le spalle. Lo svolgimento prevede di iniziare in una posizione di planca con una manubrio in ciascuna mano, appoggiate sul pavimento. Sollevare lentamente un manubrio verso l'alto, portandolo all'altezza delle spalle, mantenendo l'altra mano saldamente appoggiata al pavimento. Tornare lentamente alla posizione di partenza e ripetere con l'altro braccio.;Braccia;Palestra;Manubrio;30-60sec;2x8-10
Back Squat;Il Back Squat è un esercizio di sollevamento pesi che coinvolge la parte inferiore del corpo, in particolare i muscoli delle gambe, dei glutei e della schiena. L'esercizio prevede di sollevare un bilanciere posizionato sulla schiena e di eseguire una serie di squat, flessioni delle ginocchia e dell'anca, mantenendo una buona postura e una corretta forma.;Gambe;Palestra;Bilancere;2min;3x10
Front Squat;Il Front Squat è un esercizio di sollevamento pesi simile al Back Squat, ma con il bilanciere posizionato sulla parte anteriore delle spalle anziché sulla schiena. L'esercizio coinvolge principalmente i muscoli delle gambe, dei glutei e dell'addome, e richiede una maggiore stabilizzazione del tronco rispetto al Back Squat.;Gambe;Palestra;Bilancere;2min;3x10
Romanian Deadlift;Il Romanian Deadlift è un esercizio di sollevamento pesi che coinvolge principalmente i muscoli dei glutei, della schiena e delle gambe, con un'enfasi sulla parte posteriore del corpo. L'esercizio prevede di sollevare un bilanciere dal pavimento, mantenendo le gambe leggermente piegate, la schiena dritta e il bilanciere vicino al corpo, quindi di abbassare il bilanciere, estendendo le anche e piegando leggermente le ginocchia.;Gambe;Palestra;Bilancere;2min;3x10
Walking Lunges;Il Walking Lunges, o affondi camminati, è un esercizio per le gambe che coinvolge principalmente i muscoli dei quadricipiti, dei glutei e degli addominali. L'esercizio prevede di muoversi in avanti alternando le gambe, mantenendo la schiena dritta e le ginocchia piegate a circa 90 gradi.;Gambe;Casa;CorpoLibero;60-90sec;3x8-10
Reverse Lunge;Il Reverse Lunge, o affondi inversi, è un esercizio per le gambe che coinvolge principalmente i muscoli dei quadricipiti, dei glutei e degli addominali. L'esercizio prevede di muoversi all'indietro alternando le gambe, mantenendo la schiena dritta e le ginocchia piegate a circa 90 gradi.;Gambe;Casa;CorpoLibero;60-90sec;3x8-10
Lateral Lunge;Il Lateral Lunge, o affondi laterali, è un esercizio per le gambe che coinvolge principalmente i muscoli dei quadricipiti, dei glutei e degli addominali. L'esercizio prevede di muoversi lateralmente alternando le gambe, mantenendo la schiena dritta e le ginocchia piegate a circa 90 gradi.;Gambe;Casa;CorpoLibero;60-90sec;3x8-10
Step Up;Lo Step-Up è un esercizio che coinvolge principalmente i muscoli delle gambe, compresi i quadricipiti, i glutei e i polpacci. L'esercizio prevede di salire e scendere su una piattaforma rialzata, come uno step o una panca, alternando le gambe.;Gambe;Palestra;CorpoLibero;60-90sec;3x8-10
Overhead Presses;L'Overhead Press, o press militare, è un esercizio di forza che coinvolge i muscoli delle spalle, del tronco e delle braccia. Viene eseguito sollevando un bilanciere da terra fino alla posizione sopra la testa, mantenendo la schiena dritta e le gambe leggermente piegate.;Busto;Palestra;Bilancere;60-90sec;3x8-10
Trap Bar Deadlifts;Il Trap Bar Deadlift è un esercizio di sollevamento pesi che coinvolge principalmente i muscoli posteriori della coscia e del gluteo, ma anche quelli della schiena. Viene eseguito sollevando un bilanciere posto all'interno di una struttura a forma di trapezio, mantenendo la schiena dritta e le gambe leggermente piegate.;Busto;Palestra;Bilancere;60-90sec;3x8-10
Pullups and Chinups;Pullups e Chinups sono esercizi di trazione che coinvolgono principalmente i muscoli delle spalle, delle braccia e delle spalle. Viene eseguito sollevando il corpo verso una sbarra orizzontale, mantenendo le braccia dritte e il busto in tensione.;Busto;Palestra;CorpoLibero;60-90sec;4x2-3
Bent-Over Barbell Rows;Le Bent-Over Barbell Rows sono un esercizio di sollevamento pesi che coinvolge principalmente i muscoli della schiena e del braccio. Viene eseguito piegando il busto in avanti e sollevando un bilanciere verso il petto, mantenendo la schiena dritta e le gambe leggermente piegate.;Busto;Palestra;Bilancere;60-90sec;3x8-10
Seated Cable Rows;Le Seated Cable Rows sono un esercizio di sollevamento pesi che coinvolge principalmente i muscoli della schiena e del braccio. Viene eseguito seduti su una panca e sollevando un peso verso il petto, mantenendo la schiena dritta e le gambe leggermente piegate.;Busto;Palestra;Manubrio;1-2min;3x10
Plank Walkouts;Plank Walkouts è un esercizio che coinvolge principalmente i muscoli del core e delle braccia. Viene eseguito in posizione plank e spostando il peso del corpo avanti e indietro, mantenendo il busto in tensione.;Busto;Palestra;Manubrio;1-2min;3x10
Hanging Leg Raises;Gli Hanging Leg Raises sono un esercizio di sollevamento pesi che coinvolge principalmente i muscoli dell'addome e delle gambe. Viene eseguito sollevando le gambe piegate verso il petto, mantenendo il corpo in tensione appeso a una sbarra.;Busto;Casa;CorpoLibero;40-50sec;3x12
Dumbbell Bench Presses;Le Dumbbell Bench Presses sono un esercizio di sollevamento pesi che coinvolge principalmente i muscoli del torace e delle braccia. Viene eseguito sdraiati su una panca e sollevando due pesi verso l'alto, mantenendo le braccia dritte e il busto in tensione.;Busto;Palestra;Manubrio;1-2min;3x10
Jump Rope;Il Jump Rope (o corda per saltare) è un esercizio fisico che prevede l'uso di una corda lunga e sottile, solitamente in nylon o in cuoio, che viene fatta passare sotto i piedi mentre l'individuo salta ripetutamente. Questo esercizio può essere svolto a diverse velocità e intensità, e può essere utilizzato per migliorare la coordinazione, l'agilità, la forza muscolare e la resistenza cardiovascolare;Aerobico;Casa_palestra;Corpolibero;-;8min
Tapis roulant;La corsa in tapis roulant è un esercizio aerobico che prevede la corsa su una macchina apposita, chiamata tapis roulant o treadmill in inglese.;Aerobico;Palestra;Corpolibero;-;15-20min
Corsa;La corsa è un tipico esercizio aerobico che non prevede l'uso di attrezzi o macchine appositi.;Aerobico;Casa;Corpolibero;-;15-20min
Skip;Lo Skip (o skipping) è un esercizio fisico che consiste nel saltare su un posto o muoversi leggermente in avanti e indietro utilizzando i piedi per generare una sorta di corsa stazionaria. Lo skipping può essere eseguito a ritmo lento o veloce, e può essere un'attività di riscaldamento efficace prima dell'attività fisica intensa o un esercizio cardiovascolare a sé stante. Inoltre, lo skipping può essere utilizzato come parte di un allenamento di coordinazione e agilità.;Aerobico;Casa_palestra;Corpolibero;-;8min
Push Up;Le Push Up, o flessioni, sono un esercizio fisico che coinvolge il sollevamento del peso del corpo dall'uso dei muscoli delle braccia, petto e spalle. Per eseguire le push up, si inizia nella posizione di plank, con le mani appoggiate sul pavimento all'altezza delle spalle e le gambe tese dietro di sé. Poi, si abbassa il corpo mantenendo la schiena dritta fino a che il petto sfiora il pavimento, quindi si torna alla posizione di partenza spingendo verso l'alto con le braccia. Le push up possono essere modificate in base al livello di difficoltà, ad esempio utilizzando una superficie elevata per le mani o riducendo il numero di ripetizioni. Le push up sono un esercizio versatile e completo che aiuta a rafforzare la muscolatura del petto, delle spalle, delle braccia e del core.;Braccia;Casa_palestra;Corpolibero;60-90sec;3x6-15
Squat;Lo Squat è un esercizio fisico che coinvolge il movimento di piegamento delle ginocchia e delle anche, in modo da abbassarsi in una posizione seduta e poi tornare in piedi. Per eseguire uno squat, si posizionano i piedi alla larghezza delle spalle, con le dita dei piedi rivolte leggermente verso l'esterno, si contraggono i muscoli addominali e si piegano le ginocchia spingendo i glutei verso l'indietro. Si continua a piegare le ginocchia finché le cosce non sono parallelamente al pavimento, poi si torna alla posizione eretta spingendo con i talloni e usando i muscoli delle gambe e dei glutei.;Gambe;Casa_palestra;Corpolibero;60-90sec;3x10
Step Up;Lo Step up è un esercizio fisico che coinvolge l'uso delle gambe, in particolare dei muscoli delle cosce, dei glutei e dei polpacci. L'esercizio prevede di salire su un gradino o una piattaforma sollevata usando un solo piede, quindi di scendere e ripetere con l'altro piede.;Gambe;Casa_palestra;Corpolibero;60-90sec;3x10
Crunch;Il Crunch è un esercizio fisico che si concentra sul rinforzo dei muscoli addominali, in particolare dei muscoli retti dell'addome. Per eseguire il crunch, si inizia sdraiati sulla schiena con le ginocchia piegate e i piedi appoggiati sul pavimento. Si mettono le mani dietro la testa o incrociate sul petto e si solleva la testa, le spalle e la parte superiore del torace dal pavimento, mantenendo la zona lombare a contatto con il pavimento. Il movimento di sollevamento deve essere eseguito lentamente e con controllo, utilizzando i muscoli dell'addome per muoversi verso l'alto. Si tiene la posizione contratta per un attimo, poi si abbassa lentamente la parte superiore del corpo verso il pavimento.;Addominali;Casa_palestra;Corpolibero;30sec;max
Plank;Il Plank è un esercizio di stabilità che coinvolge i muscoli dell'addome, della schiena e delle gambe. Per eseguire il plank, si inizia posizionandosi a faccia in giù con le braccia dritte, mantenendo il peso del corpo sulla punta dei piedi e sulle braccia. Si solleva il corpo dal pavimento mantenendo una linea dritta dal collo ai talloni, come se si fosse in posizione di flessione. Durante l'esecuzione del plank, è importante mantenere la schiena dritta e gli addominali contratti per evitare di ""cadere"" in una posizione curva.;Addominali;Casa_palestra;Corpolibero;30sec;20sec
Jumping Jack;"Il Jumping Jack è un esercizio fisico a corpo libero che coinvolge tutto il corpo. Per eseguire un Jumping Jack, si inizia in posizione eretta con le gambe unite e le braccia lungo i fianchi. Poi si salta in aria sollevando le gambe lateralmente e contemporaneamente si estendono le braccia sopra la testa, formando una sorta di ""X"". In seguito, si atterra dolcemente sui piedi e si torna alla posizione iniziale. L'esercizio prevede di ripetere il movimento di salto in modo continuo per un certo numero di ripetizioni o per un determinato periodo di tempo. Il Jumping Jack è un esercizio aerobico che migliora la coordinazione, la resistenza cardiovascolare, la forza e l'agilità.";Aerobico;Casa_palestra;Corpolibero;-;8min
Cyclette;La Cyclette è un attrezzo da palestra simile ad una bicicletta, utilizzata per l'allenamento cardiovascolare e il rinforzo muscolare delle gambe. Consiste in una struttura che riproduce una sella, due pedali e una ruota di inerzia che può essere regolata per aumentare o diminuire la resistenza. L'allenamento sulla cyclette è un'ottima forma di esercizio cardiovascolare che brucia calorie e aumenta la resistenza cardiovascolare. Inoltre, l'allenamento sulla cyclette aiuta a rinforzare i muscoli delle gambe, migliorare la postura e la coordinazione.;Aerobico;Palestra;Corpolibero;-;15-20min
Tricep Dips;Il Tricep Dips è un esercizio fisico che mira principalmente alla muscolatura dei tricipiti, i muscoli posteriori del braccio. Si esegue generalmente utilizzando due panche o sedie posizionate parallelamente, dove si appoggiano le mani mentre si solleva il corpo verso l'alto e poi si scende in modo controllato.;Braccia;Casa_palestra;Corpolibero;60-90sec;3x6-15
Wall Push Off;Il Wall Push Off è un esercizio fisico che coinvolge principalmente la muscolatura del torace, delle spalle e dei tricipiti. L'esercizio consiste nel posizionarsi di fronte ad una parete e spingere il corpo verso la parete come se si stesse facendo una flessione, ma invece di scendere fino al suolo, si spinge il corpo indietro con le braccia per tornare in posizione eretta. Questo esercizio � spesso utilizzato come una variante meno impegnativa delle tradizionali flessioni, in quanto permette di controllare l'intensità dell'esercizio variando la distanza dal muro e la forza con cui si spinge il corpo.;Braccia;Casa_palestra;Corpolibero;40-50sec;3x12
French Press;La French Press, anche nota come skull crusher, è un esercizio di sollevamento pesi utilizzato per rafforzare e tonificare i tricipiti, i muscoli posteriori del braccio. Questo esercizio viene solitamente eseguito sdraiati su una panca con un bilanciere o delle manubri sopra la testa, tenendo le braccia tese verticalmente rispetto al corpo. Si piegano quindi i gomiti portando il bilanciere o le manubri verso la fronte, senza muovere le braccia o le spalle. Da qui si spinge nuovamente il peso verso l'alto fino a raggiungere la posizione iniziale con le braccia tese.;Braccia;Palestra;Manubrio;60-90sec;3x8-10
Chest Press;Il Chest Press è un esercizio di sollevamento pesi utilizzato per rafforzare e tonificare i muscoli del petto, delle spalle e dei tricipiti. In genere, si esegue utilizzando una panca piana o inclinata e un bilanciere o delle manubri. Per eseguire il chest press, ci si sdraia sulla panca con i piedi appoggiati a terra e si solleva il bilanciere o le manubri sopra il petto, con le braccia tese e le mani allineate con le spalle. Si abbassano quindi le braccia verso il petto, piegando i gomiti, fino a quando il bilanciere o le manubri quasi toccano il petto, e poi si spinge nuovamente il peso verso l'alto fino a raggiungere la posizione iniziale con le braccia tese.;Braccia;Palestra;Bilancere;60-90sec;3x8-10
